dsim_control_1st,dsim_control_2nd,dsim_miR983KO_1st,dsim_miR983KO_2nd
122,151,111,118
143,84,163,141
144,112,144,137
167,56,152,111
158,134,154,145
164,139,136,136
119,129,133,108
185,160,96,96
144,134,150,149
142,130,119,134
143,129,101,157
179,120,165,201
90,176,144,132
146,135,111,123
134,88,176,178
148,139,141,133
179,136,137,155
138,126,153,130
150,120,129,124
138,133,139,135
