dmel_control_1st,dmel_miR983KO_1st,dmel_control_2nd,dmel_miR983KO_2nd
184,204,140,116
121,176,69,134
156,165,22,164
120,186,117,123
202,178,193,161
204,184,176,182
185,178,164,194
152,182,17,186
187,NA,154,188
146,133,81,196
101,171,NA,162
146,160,50,60
186,151,78,53
128,190,145,101
118,150,79,67
142,NA,48,NA
161,185,56,115
132,174,136,152
141,149,NA,26
176,183,65,64
